Year,G7,BRICS
2023,4.797724282263157,6.5741522791086915
2024,4.7708802719718975,6.604563349119426
2025,4.742223812099997,6.634974419130161
2026,4.713945227082332,6.665385489140897
2027,4.6883372972525414,6.695796559151632
2028,4.667592797871297,6.726207629162367
2029,4.653623201804471,6.756618699173102
2030,4.647914502425409,6.787029769183837
